item,item_kr,icon_url,games,avg_place,top4_rate,win_rate,pick_rate,score,tier
JeweledGauntletRadiant,찬란한 보석 건틀릿,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft5_item_jeweledgauntletradiant.tft_set13.tex,158,4.51,48.1,11.39,0.44,171.38,D
ChainVest,쇠사슬 조끼,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_chainvest.tft_set13.tex,1221,4.9,42.83,9.42,3.44,171.11,D
NeedlesslyLargeRod,쓸데없이 큰 지팡이,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_needlesslylargerod.tft_set13.tex,1202,4.9,42.76,7.57,3.38,170.69,D
ClunkyPrototype,망가진 시제품,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_clunkyprototype_t0.tft_set17.tex,668,4.91,42.81,11.98,1.88,170.49,D
RecurveBow,곡궁,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_recurvebow.tft_set13.tex,1378,4.93,42.74,8.49,3.88,169.57,D
TentacleSlam,촉수 후려치기,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_tentacleslam_t1.tft_set17.tex,390,4.78,43.85,17.18,1.1,168.03,D
YasuoArtifact,야스오의 검술,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_item_artifact_yasuobladework.tft_set17.tex,276,4.57,48.91,7.25,0.78,167.94,D
BFSword,B.F. 대검,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_bfsword.tft_set13.tex,1096,4.98,42.15,9.4,3.08,166.76,D
ProwlersClaw,자객의 발톱,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_artifact_prowlersclaw.tft_set13.tex,236,4.62,49.15,11.86,0.66,166.38,D
LeviathanRadiant,찬란한 내셔의 이빨,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft5_item_leviathanradiant.tft_set13.tex,143,4.62,49.65,11.19,0.4,166.29,D
LeakyPrototype,엉성한 시제품,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_leakyprototype_t0.tft_set17.tex,520,4.99,41.54,10.96,1.46,165.74,D
VoidGauntlet,공허 건틀릿,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft16_artifact_voidgauntlet.tft_set16.tex,285,4.63,47.72,10.18,0.8,165.17,D
SparringGloves,연습용 장갑,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft_item_sparringgloves.tft_set13.tex,950,5.0,39.16,8.53,2.67,164.52,D
SavageSlicer,포악한 절단검,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_savageslicer_t1.tft_set17.tex,258,4.73,43.41,15.89,0.73,159.99,D
ShimmerscaleGoldmancersStaff,황금술사의 지팡이,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/ornn_items/goldmancersstaff.tex,110,4.79,45.45,12.73,0.31,156.8,D
ShimmerscaleDravensAxe,드레이븐의 도끼,https://raw.communitydragon.org/latest/assets/maps/particles/tft/item_icons/traits/set7_shimmerscale/shimmerscale_dravensaxe_base.tex,108,4.82,45.37,11.11,0.3,154.95,D
GargoyleStoneplateRadiant,찬란한 가고일 돌갑옷,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft5_item_gargoylestoneplateradiant.tft_set13.tex,265,4.85,44.53,11.32,0.75,153.42,D
RocketSwarm,로켓 연사,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft17_animasquaditem_rocketswarm_t1.tft_set17.tex,235,5.09,39.57,13.19,0.66,140.27,D
CappaJuice,카파 주스,https://raw.communitydragon.org/latest/assets/maps/tft/icons/items/hexcore/tft16_artifact_kappajuice.tft_set16.tex,182,5.07,36.26,8.79,0.51,139.34,D
